order_id,order_item_id,product_id,item_created_at,item_status,sale_price,cost,category,department,brand,product_name,order_status,order_created_at,shipped_at,delivered_at,user_id,gender,country,state,city
61125,88932,4929,2023-01-01 08:54:29.000000 UTC,Shipped,198.0,97.614000141620636,Jeans,Women,Diesel,Diesel Women's Louvboot Slim Flare Jean,Shipped,2022-12-30 12:19:09.000000 UTC,2023-01-01 09:32:09.000000 UTC,,48614,F,France,Île-de-France,Ivry-sur-Seine
61125,88931,5191,2023-01-02 08:44:55.000000 UTC,Shipped,42.9900016784668,22.741710857039976,Pants & Capris,Women,LOTUSTRADERS,BLACK PANT GAUCHOS RUFFLE TIERS WIDE - FITS (ONE SIZE) - L XL 1X 2X - S221S LOTUSTRADERS,Shipped,2022-12-30 12:19:09.000000 UTC,2023-01-01 09:32:09.000000 UTC,,48614,F,France,Île-de-France,Ivry-sur-Seine
61125,88930,6675,2023-01-03 11:57:34.000000 UTC,Shipped,65.0,35.620000027120113,Shorts,Women,KUT from the Kloth,KUT from the Kloth Women's Bermuda Trouser Short,Shipped,2022-12-30 12:19:09.000000 UTC,2023-01-01 09:32:09.000000 UTC,,48614,F,France,Île-de-France,Ivry-sur-Seine
6107,8932,15244,2023-01-06 23:35:33.000000 UTC,Processing,12.989999771118164,6.5339698852111772,Plus,Women,Scarf_tradinginc,Scarf_tradinginc Elegant Paisley Jacquard Pashmina Scarf Wrap Stole **Multiple colors**,Processing,2023-01-07 00:17:39.000000 UTC,,,4905,F,France,Grand Est,Laxou
101416,147699,11629,2023-01-07 21:33:19.000000 UTC,Shipped,45.0,25.919999973848466,Intimates,Women,By The Sword Inc.,Renaissance Classic Chemise,Shipped,2023-01-06 22:16:57.000000 UTC,2023-01-08 03:38:57.000000 UTC,,80975,F,France,Provence-Alpes-Côte d'Azur,Marseille
120384,175094,6470,2023-01-09 18:24:34.000000 UTC,Shipped,13.5,6.75,Shorts,Women,Splendid,Splendid Women's Drawstring Short,Shipped,2023-01-09 21:39:54.000000 UTC,2023-01-11 04:44:54.000000 UTC,,96190,F,France,Hauts-de-France,Esmery-Hallon
101416,147700,4441,2023-01-10 21:08:54.000000 UTC,Shipped,189.0,103.76099975779653,Jeans,Women,7 For All Mankind,7 For All Mankind Women's Kimmie Bootcut,Shipped,2023-01-06 22:16:57.000000 UTC,2023-01-08 03:38:57.000000 UTC,,80975,F,France,Provence-Alpes-Côte d'Azur,Marseille
7194,10489,3440,2023-01-11 04:59:44.000000 UTC,Processing,10.149999618530272,4.8313998163029552,Dresses,Women,Allegra K,Allegra K Ladies Dotted Double V Neck Banded Dress Pink White M,Processing,2023-01-11 07:31:37.000000 UTC,,,5748,F,France,Normandie,Athis-Val-de-Rouvre
120384,175095,3730,2023-01-11 18:07:59.000000 UTC,Shipped,89.0,39.070999938994646,Dresses,Women,AGB,AGB Women's V-Neck Dress With Draped Side,Shipped,2023-01-09 21:39:54.000000 UTC,2023-01-11 04:44:54.000000 UTC,,96190,F,France,Hauts-de-France,Esmery-Hallon
120384,175096,5196,2023-01-11 21:32:41.000000 UTC,Shipped,39.5,21.922499988228083,Pants & Capris,Women,Billabong,Billabong Laying Low Juniors Pants - Black,Shipped,2023-01-09 21:39:54.000000 UTC,2023-01-11 04:44:54.000000 UTC,,96190,F,France,Hauts-de-France,Esmery-Hallon
